Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
ir IR Iran,20,31.7,39,3,33,270,3,3,1,4,3,0,1,6,0,1,0.33,1.33,1,1.33
iq Iraq,25,26.4,38.3,3,33,270,3,1,1,2,1,0,0,4,1,0.33,0.33,0.67,0.33,0.67
jp Japan,24,27.5,46.3,4,44,360,4,8,7,15,8,0,0,4,0,2,1.75,3.75,2,3.75
jo Jordan,20,28.2,30.7,3,33,270,3,3,3,6,3,0,0,4,0,1,1,2,1,2
kr Korea Republic,20,28.2,63,3,33,270,3,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33
mx Mexico,25,27.6,52.2,5,55,450,5,10,7,17,9,1,1,4,1,2,1.4,3.4,1.8,3.2
ma Morocco,23,26,59,6,66,570,6.3,10,9,19,10,0,0,7,0,1.58,1.42,3,1.58,3
nl Netherlands,22,27.2,53.3,4,44,390,4.3,10,10,20,10,0,0,3,0,2.31,2.31,4.62,2.31,4.62
nz New Zealand,17,28.1,47,3,33,270,3,4,3,7,4,0,0,4,0,1.33,1,2.33,1.33,2.33
no Norway,25,27.1,52.2,6,66,570,6.3,12,10,22,12,0,1,3,0,1.89,1.58,3.47,1.89,3.47
pa Panama,20,28.8,45.7,3,33,270,3,0,0,0,0,0,0,5,0,0,0,0,0,0
py Paraguay,24,28,30,5,55,480,5.3,3,3,6,3,0,0,9,1,0.56,0.56,1.13,0.56,1.13
pt Portugal,22,27.7,58.4,5,55,450,5,7,4,11,6,1,1,7,0,1.4,0.8,2.2,1.2,2
qa Qatar,22,29.7,33,3,33,270,3,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33
sa Saudi Arabia,18,28.6,38.3,3,33,270,3,1,0,1,1,0,0,6,0,0.33,0,0.33,0.33,0.33
sct Scotland,20,29.1,44.3,3,33,270,3,1,0,1,1,0,0,5,0,0.33,0,0.33,0.33,0.33
sn Senegal,22,28.5,55.3,4,44,390,4.3,10,9,19,10,0,0,3,0,2.31,2.08,4.38,2.31,4.38
za South Africa,19,26.7,48,4,44,360,4,2,1,3,1,1,1,5,2,0.5,0.25,0.75,0.25,0.5
es Spain,22,26.3,64.1,8,88,750,8.3,13,10,23,12,1,1,6,0,1.56,1.2,2.76,1.44,2.64
se Sweden,22,26.7,46.3,4,44,360,4,7,6,13,7,0,0,5,0,1.75,1.5,3.25,1.75,3.25
ch Switzerland,23,29.4,54,6,66,600,6.7,10,6,16,8,2,2,8,1,1.5,0.9,2.4,1.2,2.1
tn Tunisia,20,27.4,39.3,3,33,270,3,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33
tr Türkiye,23,26.6,66.3,3,33,270,3,3,3,6,3,0,0,2,0,1,1,2,1,2
uy Uruguay,17,28.6,55,3,33,270,3,3,1,4,3,0,0,5,1,1,0.33,1.33,1,1.33
us USA,24,26.7,56.8,5,55,450,5,9,4,13,9,0,0,7,1,1.8,0.8,2.6,1.8,2.6
uz Uzbekistan,23,26.9,38.3,3,33,270,3,2,1,3,2,0,0,4,0,0.67,0.33,1,0.67,1
